clue,answer,game_date,board_map,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same Letter,WINTER WONDERLAND,2015-11-02,**************WINTER********WONDERLAND**************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Are You Doing?,WATCHING WHEEL OF FORTUNE,2015-11-03,**WATCHING*****WHEEL*OF******FORTUNE****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thing(s),WARM WOOLEN MITTENS,2015-11-04,**************WARM*WOOLEN***MITTENS*****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event(s),UGLY HOLIDAY SWEATER PARTY,2015-11-05,*************UGLY*HOLIDAY**SWEATER*PARTY************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Kichen,TURKEY BASTER,2015-11-06,****************TURKEY********BASTER****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landmark(s),THE NORTH POLE,2015-11-07,***************THE*NORTH*****POLE*******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyme Time ,SURF AND TURF,2015-11-08,***************SURF*AND******TURF*******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same Letter,STOCKING STUFFERS,2015-11-09,***************STOCKING******STUFFERS***************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fun & Games,SPINNING THE DREIDEL,2015-11-10,**************SPINNING******THE*DREIDEL*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fun & Games,SNOWBALL FIGHT ,2015-11-11,***************SNOWBALL******FIGHT******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Are You Doing?,SHOPPING AT SEARS,2015-11-12,**************SHOPPING*AT***SEARS*******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same Letter,SECRET SANTA,2015-11-13,****************SECRET********SANTA*****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food & Drink,PUMPKIN SPICE LATTE,2015-11-14,**************PUMPKIN*******SPICE*LATTE*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before & After,PUMPKIN PIE IN THE SKY,2015-11-15,*PUMPKIN******PIE***********IN*THE*SKY**************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food & Drink,POTATO LATKES,2015-11-16,****************POTATO********LATKES****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thing(s),MISTLETOE,2015-11-17,***************MISTLETOE****************************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie Title(s),MEET ME IN ST. LOUIS,2015-11-18,**************MEET*ME*IN****ST.*LOUIS***************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thing(s),LONG UNDERWEAR,2015-11-19,***************LONG**********UNDERWEAR**************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Lyrics,JOY TO THE WORLD,2015-11-20,**************JOY*TO*THE****WORLD*******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Kitchen,GRAVY BOAT,2015-11-21,*****************GRAVY*********BOAT*****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Are You Doing?,GOING TO THE NUTCRACKER,2015-11-22,*************GOING*TO*THE**NUTCRACKER***************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Are You Doing?,GOING ALPINE SKIING,2015-11-23,*************GOING*ALPINE**SKIING*******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food & Drink,GINGERBREAD COOKIES,2015-11-24,**************GINGERBREAD***COOKIES*****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thing(s),FRESH TRACKS IN THE SNOW,2015-11-25,*************FRESH*TRACKS**IN*THE*SNOW**************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Around the House ,FLAT-SCREEN TELEVISION,2015-11-26,**************FLAT-SCREEN***TELEVISION**************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Around the House ,FLANNEL SHEET SET,2015-11-27,***************FLANNEL*******SHEET*SET**************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food & Drink,FIGGY PUDDING,2015-11-28,****************FIGGY*********PUDDING***************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Around the House,ELECTRIC FIREPLACE,2015-11-29,***************ELECTRIC******FIREPLACE**************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Are You Doing?,DECKING THE HALLS,2015-11-30,**************DECKING*THE***HALLS*******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food & Drink,CRANBERRY SAUCE,2015-12-01,***************CRANBERRY*****SAUCE******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Character(s),CINDY LOU WHO,2015-12-02,***************CINDY*LOU*****WHO********************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Are You Doing?,CARVING THE TURKEY,2015-12-03,**************CARVING*THE***TURKEY******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Kitchen,CARVING KNIFE,2015-12-04,****************CARVING*******KNIFE*****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Are You Doing?,BUILDING A SNOWMAN,2015-12-05,**************BUILDING*A****SNOWMAN*****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People,BLACK FRIDAY SHOPPERS,2015-12-06,*************BLACK*FRIDAY**SHOPPERS*****************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Character(s),ALVIN SIMON AND THEODORE,2015-12-07,*************ALVIN*SIMON***AND*THEODORE*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie Title(s),A CHRISTMAS STORY ,2015-12-08,**************A*CHRISTMAS***STORY*******************,,,,,,,,,,,,,,,,,,,,,,,,,,,,
